Location,Strain,Habitat,Latitude,Longitude,Mean_annual_temperature,Mean_precipitation_driest_quarter,Mean_precipitation_wettest_quarter,Mean_annual_precipitation
Arizona,CM0064,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0065,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0066,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0067,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0068,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0069,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0070,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0071,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0072,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0073,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0074,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0075,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0076,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0077,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0078,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0079,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0080,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0081,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0082,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0083,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0084,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0085,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0086,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0087,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0088,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0089,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0090,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0091,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0092,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0093,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Southern_Africa,Saf-168-11,,-22.02281,14.5734,20.32083321,0,14,3.166666667
Southern_Africa,Saf-168-12,,-22.02281,14.5734,20.32083321,0,14,3.166666667
Southern_Africa,Saf-168-19,,-22.02281,14.5734,20.32083321,0,14,3.166666667
Southern_Africa,Saf-168-20,,-22.02281,14.5734,20.32083321,0,14,3.166666667
Southern_Africa,Saf-168-22,,-22.02281,14.5734,20.32083321,0,14,3.166666667
Southern_Africa,Saf-168-28,,-22.02281,14.5734,20.32083321,0,14,3.166666667
Southern_Africa,Saf-168-33,,-22.02281,14.5734,20.32083321,0,14,3.166666667
Southern_Africa,Saf-168-35,,-22.02281,14.5734,20.32083321,0,14,3.166666667
Southern_Africa,Saf-168-36,,-22.02281,14.5734,20.32083321,0,14,3.166666667
Southern_Africa,Saf-168-4,,-22.02281,14.5734,20.32083321,0,14,3.166666667
Southern_Africa,Saf-168-40,,-22.02281,14.5734,20.32083321,0,14,3.166666667
Southern_Africa,Saf-168-46,,-22.02281,14.5734,20.32083321,0,14,3.166666667
Southern_Africa,Saf-168-53,,-22.02281,14.5734,20.32083321,0,14,3.166666667
Southern_Africa,Saf-168-56,,-22.02281,14.5734,20.32083321,0,14,3.166666667
Southern_Africa,Saf-168-60,,-22.02281,14.5734,20.32083321,0,14,3.166666667
Southern_Africa,Saf-168-66,,-22.02281,14.5734,20.32083321,0,14,3.166666667
Southern_Africa,Saf-168-72,,-22.02281,14.5734,20.32083321,0,14,3.166666667
Southern_Africa,Saf-168-77,,-22.02281,14.5734,20.32083321,0,14,3.166666667
Southern_Africa,Saf-168-80,,-22.02281,14.5734,20.32083321,0,14,3.166666667
Southern_Africa,Saf-168-82,,-22.02281,14.5734,20.32083321,0,14,3.166666667
Southern_Africa,Saf-168-83,,-22.02281,14.5734,20.32083321,0,14,3.166666667
Southern_Africa,Saf-168-91,,-22.02281,14.5734,20.32083321,0,14,3.166666667
Southern_Africa,Saf-168-95,,-22.02281,14.5734,20.32083321,0,14,3.166666667
Southern_Africa,Saf-169-81,,-22.43066,14.46064,18.58749962,0,7,2.333333333
Arizona,LG1144,Sonoran Desert,32.03,-110.04,16.1,6,85,33
Arizona,LG1145,Sonoran Desert,32.03,-110.04,16.1,6,85,33
Arizona,LG1146,Sonoran Desert,32.03,-110.04,16.1,6,85,33
Arizona,LG1147,Sonoran Desert,32.03,-110.04,16.1,6,85,33
Arizona,LG1149,Sonoran Desert,32.03,-110.04,16.1,6,85,33
Arizona,LG1150,Sonoran Desert,32.03,-110.04,16.1,6,85,33
Arizona,LG1151,Sonoran Desert,32.03,-110.04,16.1,6,85,33
Arizona,LG1175,Sonoran Desert,32.03,-110.04,16.1,6,85,33
Arizona,LG1176,Sonoran Desert,32.03,-110.04,16.1,6,85,33
Arizona,LG1178,Sonoran Desert,32.03,-110.04,16.1,6,85,33
Arizona,LG1186,Sonoran Desert,32.03,-110.04,16.1,6,85,33
Arizona,LG1187,Sonoran Desert,32.03,-110.04,16.1,6,85,33
Arizona,LG1188,Sonoran Desert,32.03,-110.04,16.1,6,85,33
Arizona,LG1194,Sonoran Desert,32.03,-110.04,16.1,6,85,33
Arizona,LG1195,Sonoran Desert,32.03,-110.04,16.1,6,85,33
Arizona,LG1196,Sonoran Desert,32.03,-110.04,16.1,6,85,33
Arizona,LG1202,Sonoran Desert,32.03,-110.04,16.1,6,85,33
Arizona,LG1203,Sonoran Desert,32.03,-110.04,16.1,6,85,33
Arizona,LG1206,Sonoran Desert,32.03,-110.04,16.1,6,85,33
Arizona,LG1215,Sonoran Desert,32.03,-110.04,16.1,6,85,33
Arizona,LG1218,Sonoran Desert,32.03,-110.04,16.1,6,85,33
Arizona,LG1221,Sonoran Desert,32.03,-110.04,16.1,6,85,33
Arizona,LG1232,Sonoran Desert,32.03,-110.04,16.1,6,85,33
Arizona,LG1237,Sonoran Desert,32.03,-110.04,16.1,6,85,33
Arizona,LG1260,Sonoran Desert,32.03,-110.04,16.1,6,85,33
Arizona,LG1281,Sonoran Desert,32.03,-110.04,16.1,6,85,33
Arizona,LG1282,Sonoran Desert,32.03,-110.04,16.1,6,85,33
Arizona,LG1304,Sonoran Desert,32.03,-110.04,16.1,6,85,33
Arizona,LG1306,Sonoran Desert,32.03,-110.04,16.1,6,85,33
Arizona,LG1326,Sonoran Desert,32.03,-110.04,16.1,6,85,33
Arizona,LG1351,Sonoran Desert,32.03,-110.04,16.1,6,85,33
Arizona,LG1353,Sonoran Desert,32.03,-110.04,16.1,6,85,33
Arizona,LG1354,Sonoran Desert,32.03,-110.04,16.1,6,85,33
Arizona,LG1362,Sonoran Desert,32.03,-110.04,16.1,6,85,33
Arizona,LG1370,Sonoran Desert,32.03,-110.04,16.1,6,85,33
Arizona,LG1371,Sonoran Desert,32.03,-110.04,16.1,6,85,33
Arizona,LG1372,Sonoran Desert,32.03,-110.04,16.1,6,85,33
Arizona,LG1391,Sonoran Desert,32.03,-110.04,16.1,6,85,33
Arizona,LG1392,Sonoran Desert,32.03,-110.04,16.1,6,85,33
Arizona,LG1393,Sonoran Desert,32.03,-110.04,16.1,6,85,33
Arizona,LG1423,Sonoran Desert,32.03,-110.04,16.1,6,85,33
Chile,SO_03022,Fog desert,-26.008533,-70.6078,15.78,0,13,1.583333333
Chile,SO_03024,Fog desert,-26.008533,-70.6078,15.78,0,13,1.583333333
