Strain,Project,Site,Species,Host family (plant) or order or class (lichen),Plant or Lichen host,Site-Host
SNP018,Arizona,Tucson Mountains (Saguaro),Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains (Saguaro)_Plant-angiosperm
SNP024,Arizona,Tucson Mountains (Saguaro),Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains (Saguaro)_Plant-angiosperm
SNP025,Arizona,Tucson Mountains (Saguaro),Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains (Saguaro)_Plant-angiosperm
SNP026,Arizona,Tucson Mountains (Saguaro),Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains (Saguaro)_Plant-angiosperm
SNP027,Arizona,Tucson Mountains (Saguaro),Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains (Saguaro)_Plant-angiosperm
SNP029,Arizona,Tucson Mountains (Saguaro),Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains (Saguaro)_Plant-angiosperm
SNP095,Arizona,Tucson Mountains (Saguaro),Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains (Saguaro)_Plant-angiosperm
SNP096,Arizona,Tucson Mountains (Saguaro),Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains (Saguaro)_Plant-angiosperm
SNP097,Arizona,Tucson Mountains (Saguaro),Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains (Saguaro)_Plant-angiosperm
SNP099,Arizona,Tucson Mountains (Saguaro),Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains (Saguaro)_Plant-angiosperm
SNP100,Arizona,Tucson Mountains (Saguaro),Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains (Saguaro)_Plant-angiosperm
SNP101,Arizona,Tucson Mountains (Saguaro),Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains (Saguaro)_Plant-angiosperm
SNP102,Arizona,Tucson Mountains (Saguaro),Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains (Saguaro)_Plant-angiosperm
SNP103,Arizona,Tucson Mountains (Saguaro),Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains (Saguaro)_Plant-angiosperm
