Strain,Project,Site,Species,Host family (plant) or order or class (lichen),Plant or Lichen host,Site-Host
SY0828,Arizona,"Tucson, Swan/Rillito",Machaeranthera sp.,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0830,Arizona,"Tucson, Swan/Rillito",Machaeranthera sp.,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0831,Arizona,"Tucson, Swan/Rillito",Machaeranthera sp.,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY1185A,Arizona,"Tucson, First/River/CAC",Lactuca serriola,Asteraceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY1379A,Arizona,"Tucson, First/River/CAC",Machaeranthera sp.,Asteraceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY1380A,Arizona,"Tucson, First/River/CAC",Machaeranthera sp.,Asteraceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY1382,Arizona,"Tucson, First/River/CAC",Machaeranthera sp.,Asteraceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY1383A,Arizona,"Tucson, First/River/CAC",Machaeranthera sp.,Asteraceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY1385A,Arizona,"Tucson, First/River/CAC",Machaeranthera sp.,Asteraceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY1385B,Arizona,"Tucson, First/River/CAC",Machaeranthera sp.,Asteraceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY1390,Arizona,"Tucson, First/River/CAC",Machaeranthera sp.,Asteraceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY1393,Arizona,"Tucson, First/River/CAC",Machaeranthera sp.,Asteraceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY1394A,Arizona,"Tucson, First/River/CAC",Machaeranthera sp.,Asteraceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY1395,Arizona,"Tucson, First/River/CAC",Machaeranthera sp.,Asteraceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY1496,Arizona,"Tucson, Grant/Santa Cruz",Lactuca serriola,Asteraceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY0117,Arizona,"Tucson, Swan/Rillito",Sisymbrium irio,Brassicaceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0120,Arizona,"Tucson, Swan/Rillito",Sisymbrium irio,Brassicaceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0122,Arizona,"Tucson, Swan/Rillito",Sisymbrium irio,Brassicaceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0124,Arizona,"Tucson, Swan/Rillito",Sisymbrium irio,Brassicaceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0192A,Arizona,"Tucson, Grant/Santa Cruz",Sisymbrium irio,Brassicaceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY0193B,Arizona,"Tucson, Grant/Santa Cruz",Sisymbrium irio,Brassicaceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY0194A,Arizona,"Tucson, Grant/Santa Cruz",Sisymbrium irio,Brassicaceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY0195A,Arizona,"Tucson, Grant/Santa Cruz",Sisymbrium irio,Brassicaceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY0196,Arizona,"Tucson, Grant/Santa Cruz",Sisymbrium irio,Brassicaceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY0197A,Arizona,"Tucson, Grant/Santa Cruz",Sisymbrium irio,Brassicaceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY0199,Arizona,"Tucson, Grant/Santa Cruz",Sisymbrium irio,Brassicaceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY0200A,Arizona,"Tucson, Grant/Santa Cruz",Sisymbrium irio,Brassicaceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY0200B,Arizona,"Tucson, Grant/Santa Cruz",Sisymbrium irio,Brassicaceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY0201B2,Arizona,"Tucson, Grant/Santa Cruz",Sisymbrium irio,Brassicaceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY0538,Arizona,"Tucson, First/River/CAC",Sisymbrium irio,Brassicaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY0546A,Arizona,"Tucson, First/River/CAC",Sisymbrium irio,Brassicaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY0985A,Arizona,"Tucson, Swan/Rillito",Sisymbrium irio,Brassicaceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0986A,Arizona,"Tucson, Swan/Rillito",Sisymbrium irio,Brassicaceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0987A,Arizona,"Tucson, Swan/Rillito",Sisymbrium irio,Brassicaceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0988,Arizona,"Tucson, Swan/Rillito",Sisymbrium irio,Brassicaceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0989,Arizona,"Tucson, Swan/Rillito",Sisymbrium irio,Brassicaceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0990,Arizona,"Tucson, Swan/Rillito",Sisymbrium irio,Brassicaceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0991,Arizona,"Tucson, Swan/Rillito",Sisymbrium irio,Brassicaceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0994,Arizona,"Tucson, Swan/Rillito",Sisymbrium irio,Brassicaceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0995,Arizona,"Tucson, Swan/Rillito",Sisymbrium irio,Brassicaceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
LG0163,Arizona,Tucson,Platycladus orientalis,Cupressaceae,Plant-conifer,Tucson_Plant-conifer
LG0164,Arizona,Tucson,Platycladus orientalis,Cupressaceae,Plant-conifer,Tucson_Plant-conifer
LG0250,Arizona,Tucson,Juniperus virginiana,Cupressaceae,Plant-conifer,Tucson_Plant-conifer
LG0746,Arizona,Rock Springs,Juniperus osteosperma,Cupressaceae,Plant-conifer,Rock Springs_Plant-conifer
CM0018,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0019,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0020,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0021,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0022,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0023,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0024,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0025,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0026,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0027,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0028,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0029,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0030,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0031,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0032,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0033,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0034,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0035,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0036,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0037,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0038,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0039,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0040,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0041,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0042,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0043,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0044,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0045,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0046,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0047,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0048,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0049,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0050,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0051,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0052,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0053,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0054,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0055,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0056,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0058,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0059,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0060,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0061,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0062,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0063,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0064,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0065,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0066,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0067,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0068,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0069,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0070,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0071,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0072,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0073,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0074,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0075,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0076,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0077,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0078,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0079,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0080,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0081,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0082,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0083,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0084,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0085,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0086,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0087,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0088,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0089,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0090,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0091,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0092,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
CM0093,Arizona,Chiricahua Mountains,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer
DF0001,Arizona,Sierra Prieta,Juniperus deppeana,Cupressaceae,Plant-conifer,Sierra Prieta_Plant-conifer
DF0036,Arizona,Sierra Prieta,Juniperus deppeana,Cupressaceae,Plant-conifer,Sierra Prieta_Plant-conifer
DF0037,Arizona,Sierra Prieta,Juniperus deppeana,Cupressaceae,Plant-conifer,Sierra Prieta_Plant-conifer
DF0038,Arizona,Sierra Prieta,Juniperus deppeana,Cupressaceae,Plant-conifer,Sierra Prieta_Plant-conifer
DF0039,Arizona,Sierra Prieta,Juniperus deppeana,Cupressaceae,Plant-conifer,Sierra Prieta_Plant-conifer
DF0040,Arizona,Sierra Prieta,Juniperus deppeana,Cupressaceae,Plant-conifer,Sierra Prieta_Plant-conifer
DF0041,Arizona,Sierra Prieta,Juniperus deppeana,Cupressaceae,Plant-conifer,Sierra Prieta_Plant-conifer
DF0042,Arizona,Sierra Prieta,Juniperus deppeana,Cupressaceae,Plant-conifer,Sierra Prieta_Plant-conifer
DF0043,Arizona,Sierra Prieta,Juniperus deppeana,Cupressaceae,Plant-conifer,Sierra Prieta_Plant-conifer
DF0044,Arizona,Sierra Prieta,Juniperus deppeana,Cupressaceae,Plant-conifer,Sierra Prieta_Plant-conifer
DF0049,Arizona,Sierra Prieta,Juniperus deppeana,Cupressaceae,Plant-conifer,Sierra Prieta_Plant-conifer
DF0050,Arizona,Sierra Prieta,Juniperus deppeana,Cupressaceae,Plant-conifer,Sierra Prieta_Plant-conifer
DF0051,Arizona,Sierra Prieta,Juniperus deppeana,Cupressaceae,Plant-conifer,Sierra Prieta_Plant-conifer
DF0052,Arizona,Sierra Prieta,Juniperus deppeana,Cupressaceae,Plant-conifer,Sierra Prieta_Plant-conifer
DF0053,Arizona,Sierra Prieta,Juniperus deppeana,Cupressaceae,Plant-conifer,Sierra Prieta_Plant-conifer
DF0055,Arizona,Sierra Prieta,Juniperus deppeana,Cupressaceae,Plant-conifer,Sierra Prieta_Plant-conifer
DF0056,Arizona,Sierra Prieta,Juniperus deppeana,Cupressaceae,Plant-conifer,Sierra Prieta_Plant-conifer
DF0057,Arizona,Sierra Prieta,Juniperus deppeana,Cupressaceae,Plant-conifer,Sierra Prieta_Plant-conifer
DF0058,Arizona,Sierra Prieta,Juniperus deppeana,Cupressaceae,Plant-conifer,Sierra Prieta_Plant-conifer
6367,Arizona,Tucson,Ephedra,Ephedraceae,Plant-gnetophyte,Tucson_Plant-gnetophyte
6368,Arizona,Tucson,Ephedra,Ephedraceae,Plant-gnetophyte,Tucson_Plant-gnetophyte
6370,Arizona,Tucson,Ephedra,Ephedraceae,Plant-gnetophyte,Tucson_Plant-gnetophyte
6371,Arizona,Tucson,Ephedra,Ephedraceae,Plant-gnetophyte,Tucson_Plant-gnetophyte
6387,Arizona,Tucson,Ephedra,Ephedraceae,Plant-gnetophyte,Tucson_Plant-gnetophyte
6369-F,Arizona,Tucson,Ephedra,Ephedraceae,Plant-gnetophyte,Tucson_Plant-gnetophyte
6372-F,Arizona,Tucson,Ephedra,Ephedraceae,Plant-gnetophyte,Tucson_Plant-gnetophyte
DS0001,Arizona,Tucson Mountains,Ephedra trifurca,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte
DS0008,Arizona,Tucson Mountains,Ephedra trifurca,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte
DS0011,Arizona,Tucson Mountains,Ephedra trifurca,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte
DS0012,Arizona,Tucson Mountains,Ephedra trifurca,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte
DS0014,Arizona,Tucson Mountains,Ephedra trifurca,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte
DS0015,Arizona,Tucson Mountains,Ephedra trifurca,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte
DS0016,Arizona,Tucson Mountains,Ephedra trifurca,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte
DS0018,Arizona,Tucson Mountains,Ephedra trifurca,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte
DS0019,Arizona,Tucson Mountains,Ephedra trifurca,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte
DS0026,Arizona,Tucson Mountains,Ephedra trifurca,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte
DS0028,Arizona,Tucson Mountains,Ephedra trifurca,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte
DS0030,Arizona,Tucson Mountains,Ephedra trifurca,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte
DS0047,Arizona,Tucson Mountains,Ephedra trifurca,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte
JS0228,Arizona,Tucson Mountains,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte
JS0229,Arizona,Tucson Mountains,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte
JS0230,Arizona,Tucson Mountains,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte
JS0231,Arizona,Tucson Mountains,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte
JS0232,Arizona,Tucson Mountains,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte
JS0233,Arizona,Tucson Mountains,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte
JS0265,Arizona,Tucson Mountains,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte
JS0266,Arizona,Tucson Mountains,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte
JS0267,Arizona,Tucson Mountains,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte
JS0268,Arizona,Tucson Mountains,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte
JS0269,Arizona,Tucson Mountains,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte
JS0270,Arizona,Tucson Mountains,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte
JS0271,Arizona,Tucson Mountains,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte
JS0272,Arizona,Tucson Mountains,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte
JS0273,Arizona,Tucson Mountains,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte
JS0274,Arizona,Tucson Mountains,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte
JS0275,Arizona,Tucson Mountains,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte
JS0276,Arizona,Tucson Mountains,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte
JS0278,Arizona,Tucson Mountains,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte
JS0279,Arizona,Tucson Mountains,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte
JS0280,Arizona,Tucson Mountains,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte
JS0281,Arizona,Tucson Mountains,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte
JS0282,Arizona,Tucson Mountains,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte
JS0284,Arizona,Tucson Mountains,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte
JS0285,Arizona,Tucson Mountains,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte
JS0287,Arizona,Tucson Mountains,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte
JS0288,Arizona,Tucson Mountains,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte
JS0289,Arizona,Tucson Mountains,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte
JS0290,Arizona,Tucson Mountains,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte
JS0291,Arizona,Tucson Mountains,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte
JS0292,Arizona,Tucson Mountains,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte
JS0293,Arizona,Tucson Mountains,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte
JS0294,Arizona,Tucson Mountains,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte
JS0295,Arizona,Tucson Mountains,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte
JS0296,Arizona,Tucson Mountains,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte
JS0297,Arizona,Tucson Mountains,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte
