Query sequence,Most common phylum-level assignment,Most common class-level assignment,Most common order-level assignment,Most common family-level assignment,Most common Genus-level assignment,Taxon assignment,Likelihood weight,otu,ITS length
LG1221,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Tricharina,"Tricharina_gilva,Tricharina_praecox,Tricharina_praecox_var_praecox,Geopora_cooperi,Tricharina_ochroleuca","0.620794, 0.328078, 0.023323",OTU185,1164
LG1222,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Tricharina,"Tricharina_gilva,Tricharina_praecox,Tricharina_praecox_var_praecox,Geopora_cooperi,Tricharina_ochroleuca","0.630468, 0.318409, 0.023273",OTU185,1128
LG1223,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,Xylaria_lichenicola,"0.750837, 0.145220, 0.103942",OTU197,1084
LG1224,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Botryosphaeria,Botryosphaeria_dothidea,1,OTU89,1093
LG1225,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Botryosphaeria,Botryosphaeria_dothidea,1,OTU89,1081
LG1227,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Pyronema,Pyronema_domesticum,0.997661,OTU13,1106
LG1228,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Geniculisynnema,Geniculisynnema_termiticola,"0.599596, 0.122119, 0.118504, 0.084772, 0.075009",OTU198,1098
LG1229,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_terricola,"0.837428, 0.127795",OTU28,1053
LG1230,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_terricola,"0.859570, 0.068406, 0.054759",OTU55,1054
LG1231,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Ascochyta,Ascochyta_rabiei,0.984913,OTU67,1052
LG1232,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_terricola,0.982535,OTU99,997
LG1233,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Ascochyta,Ascochyta_rabiei,0.984913,OTU67,1052
LG1234,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_terricola,"0.863054, 0.066383, 0.053582",OTU55,1053
LG1235,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Ascochyta,Ascochyta_rabiei,0.985217,OTU67,1051
LG1236,Ascomycota,Pezizomycetes,Pezizales,Ascobolaceae,Ascobolus,Ascobolus_crenulatus,0.99413,OTU199,1100
LG1237,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,"Xylaria_lichenicola,Xylaria_acuta,Xylaria_hypoxylon,Nemania_diffusa,Geniculisynnema_termiticola,Kretzschmaria_deusta,Xylaria_cf_obovata,Nemania_aenea,Nemania_serpens",0.996659,OTU200,1077
LG1238,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_minima,0.99998,OTU75,1056
LG1239,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,Nothophoma_infossa,"0.729607, 0.134922, 0.134867",OTU67,1052
LG1240,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,"Alternaria_cerealis,Alternaria_alstroemeriae,Alternaria_iridiaustralis,Alternaria_burnsii,Alternaria_sp,Alternaria_eichhorniae,Alternaria_daucifolii,Alternaria_alternata,Alternaria_arborescens,Alternaria_senecionicola,Alternaria_betae_kenyensis","0.059536, 0.056798, 0.056793, 0.056793, 0.056739, 0.052324, 0.052324, 0.051810, 0.051795, 0.051589, 0.051589",OTU21,1068
LG1241,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,Nothophoma_infossa,"0.729607, 0.134922, 0.134867",OTU67,1049
LG1243,Ascomycota,Dothideomycetes,Pleosporales,Cucurbitariaceae,Camarosporium,"Camarosporium_elongata,Coniothyrium_palmarum","0.354609, 0.257474, 0.256829, 0.038550, 0.013763, 0.013653, 0.012452, 0.011015",OTU104,1074
LG1244,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_terricola,"0.867269, 0.090325",OTU201,1489
LG1245,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_minima,0.999968,OTU75,1055
LG1246,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_minima,0.99998,OTU75,1057
LG1247,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Geopyxis,Geopyxis_carbonaria,1,OTU191,1105
LG1248,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,Aureobasidium_namibiae,"0.926863, 0.038615",OTU66,1022
LG1249,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_terricola,"0.843009, 0.121259",OTU28,1051
LG1250,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_minima,0.99998,OTU75,1057
LG1251,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_minima,0.99998,OTU75,1056
LG1252,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Xenodidymella,Xenodidymella_asphodeli,"0.616297, 0.315022, 0.067598",OTU67,1052
LG1253,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Schizothecium,"Schizothecium_vesticola,Cercophora_caudata,Jugulospora_rotula","0.350751, 0.170978, 0.156933, 0.156933, 0.156933",OTU123,1054
LG1254,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Pyronema,Pyronema_domesticum,0.997661,OTU13,1097
LG1255,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_terricola,"0.843016, 0.121212",OTU28,1046
LG1256,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Pyronema,Pyronema_domesticum,0.997661,OTU13,1097
LG1257,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Ascochyta,Ascochyta_rabiei,0.985228,OTU67,1032
LG1258,Ascomycota,Sordariomycetes,Xylariales,Amphisphaeriaceae,Discostroma,"Discostroma_botan,Pseudopestalotiopsis_theae,Seiridium_cardinale,Amphisphaeria_umbrina,Pestalotiopsis_vismiae,Beltraniella_carolinensis,Lepteutypa_uniseptata","0.734153, 0.134216, 0.055237, 0.040678",OTU163,1045
LG1259,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Ascochyta,Ascochyta_rabiei,0.985217,OTU67,1038
LG1260,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_minima,0.99998,OTU75,1053
LG1261,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_minima,0.999986,OTU75,1055
LG1262,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,"Alternaria_cerealis,Alternaria_alstroemeriae,Alternaria_iridiaustralis,Alternaria_burnsii,Alternaria_sp,Alternaria_eichhorniae,Alternaria_daucifolii,Alternaria_alternata,Alternaria_arborescens,Alternaria_senecionicola,Alternaria_betae_kenyensis","0.059380, 0.056706, 0.056701, 0.056701, 0.056647, 0.052285, 0.052285, 0.051773, 0.051758, 0.051556, 0.051556",OTU21,1062
LG1263,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_minima,0.99998,OTU75,1054
LG1264,Ascomycota,Pneumocystidomycetes,Pneumocystidales,Pneumocystidaceae,Pneumocystis,Pneumocystis_carinii,"0.419701, 0.319941, 0.258283",OTU202,1269
LG1265,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,Nothophoma_infossa,"0.729607, 0.134922, 0.134867",OTU67,1049
LG1266,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,Nothophoma_infossa,"0.729607, 0.134923, 0.134867",OTU67,1053
LG1267,Ascomycota,Sordariomycetes,Xylariales,Diatrypaceae,Cryptosphaeria,"Cryptosphaeria_subcutanea,Diatrypasimilis_australiensis,Cryptosphaeria_ligniota","0.800331, 0.106034, 0.045665",OTU203,1099
LG1268,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,Nothophoma_infossa,"0.729607, 0.134922, 0.134867",OTU67,1052
LG1269,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,Nothophoma_infossa,"0.701380, 0.147765, 0.147033",OTU67,1050
LG1270,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,Nothophoma_infossa,"0.729607, 0.134922, 0.134867",OTU67,1049
LG1271,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_terricola,0.997101,OTU27,1050
LG1272,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Xenodidymella,Xenodidymella_asphodeli,"0.764035, 0.146603, 0.084353",OTU67,1032
LG1273,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_terricola,0.991906,OTU42,1048
LG1274,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_minima,0.99998,OTU75,1056
LG1275,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Schizothecium,"Schizothecium_vesticola,Cercophora_caudata,Jugulospora_rotula","0.363078, 0.168443, 0.152079, 0.152079, 0.152079",OTU123,1027
LG1276,Ascomycota,Dothideomycetes,Pleosporales,Thyridariaceae,Parathyridaria,"Parathyridaria_percutanea,Arthopyrenia_salicis,Parathyridaria_ramulicola","0.675952, 0.232998, 0.058806",OTU55,962
LG1277,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_terricola,"0.831024, 0.121652",OTU28,662
LG1278,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_terricola,"0.845369, 0.122418",OTU28,1051
LG1279,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Ascochyta,Ascochyta_rabiei,0.984924,OTU67,1030
LG1280,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Pyronema,Pyronema_domesticum,0.997661,OTU13,1079
LG1281,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Ascochyta,Ascochyta_rabiei,0.984924,OTU67,1030
LG1282,Ascomycota,Neolectomycetes,Neolectales,Neolectaceae,Neolecta,"Neolecta_irregularis,Neolecta_vitellina","0.871618, 0.053707, 0.039049",OTU187,1143
LG1283,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Trichophaea,"Trichophaea_abundans,Anthracobia_subatra","0.511308, 0.451324",OTU185,1101
LG1284,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_minima,0.999986,OTU75,1056
LG1285,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Ascochyta,Ascochyta_rabiei,0.985217,OTU67,1042
LG1286,Ascomycota,Pezizomycetes,Pezizales,Ascobolaceae,Ascobolus,Ascobolus_crenulatus,"0.941579, 0.027964",OTU204,1088
LG1289,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,Nothophoma_infossa,"0.730015, 0.134770, 0.134712",OTU67,1054
LG1290,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,Nothophoma_infossa,"0.729607, 0.134922, 0.134867",OTU67,1037
LG1291,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,Nothophoma_infossa,"0.729606, 0.134926, 0.134870",OTU67,1055
LG1292,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,Nothophoma_infossa,"0.729606, 0.134926, 0.134870",OTU67,1055
LG1293,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,Nothophoma_infossa,"0.729606, 0.134926, 0.134870",OTU67,1055
LG1294,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,Nothophoma_infossa,"0.729606, 0.134926, 0.134870",OTU67,1056
LG1295,Ascomycota,Pezizomycetes,Pezizales,Ascobolaceae,Ascobolus,Ascobolus_crenulatus,0.996966,OTU59,1070
LG1296,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_minima,0.999982,OTU75,1038
LG1297,Ascomycota,Sordariomycetes,Xylariales,Amphisphaeriaceae,Pestalotiopsis,"Pestalotiopsis_vismiae,Seiridium_cardinale,Discostroma_botan,Pseudopestalotiopsis_theae","0.376582, 0.318154, 0.301987",OTU205,1066
LG1298,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,"Chaetomium_olivicolor,Chaetomium_thermophilum,Collariella_gracilis,Mycothermus_thermophilus,Collariella_causiiformis,Amesia_atrobrunnea,Collariella_virescens,Amesia_gelasinospora,Corynascella_humicola,Chaetomium_thermophilum_var_thermophilum,Amesia_nigricolor","0.608013, 0.117716, 0.094117, 0.094108, 0.056780",OTU192,1041
LG1299,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,"Chaetomium_olivicolor,Chaetomium_thermophilum,Collariella_gracilis,Mycothermus_thermophilus,Collariella_causiiformis,Amesia_atrobrunnea,Collariella_virescens,Amesia_gelasinospora,Corynascella_humicola,Chaetomium_thermophilum_var_thermophilum,Amesia_nigricolor","0.620983, 0.138123, 0.079489, 0.079419, 0.059827",OTU192,1085
LG1300,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Schizothecium,"Schizothecium_vesticola,Cercophora_caudata,Jugulospora_rotula","0.324453, 0.177670, 0.163213, 0.163213, 0.163213",OTU123,1029
LG1301,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,"Chaetomium_olivicolor,Chaetomium_thermophilum,Collariella_gracilis,Mycothermus_thermophilus,Collariella_causiiformis,Amesia_atrobrunnea,Collariella_virescens,Amesia_gelasinospora,Corynascella_humicola,Chaetomium_thermophilum_var_thermophilum,Amesia_nigricolor","0.624450, 0.137279, 0.078691, 0.078611, 0.058910",OTU192,1066
LG1302,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Ascochyta,Ascochyta_rabiei,0.984809,OTU67,1034
LG1303,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_terricola,"0.840724, 0.123326",OTU28,1040
LG1304,Ascomycota,Neolectomycetes,Neolectales,Neolectaceae,Neolecta,"Neolecta_irregularis,Neolecta_vitellina","0.799563, 0.080443, 0.056525, 0.046288",OTU187,1156
LG1305,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Ascochyta,Ascochyta_rabiei,0.991625,OTU67,1017
LG1306,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,"Alternaria_cerealis,Alternaria_alstroemeriae,Alternaria_iridiaustralis,Alternaria_burnsii,Alternaria_sp,Alternaria_eichhorniae,Alternaria_daucifolii,Alternaria_alternata,Alternaria_arborescens,Alternaria_senecionicola,Alternaria_betae_kenyensis","0.059536, 0.056798, 0.056793, 0.056793, 0.056739, 0.052324, 0.052324, 0.051810, 0.051795, 0.051589, 0.051589",OTU21,1072
LG1307,Ascomycota,Sordariomycetes,Hypocreales,unclassified,Sarocladium,Sarocladium_strictum,1,OTU206,1083
LG1308,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,Nothophoma_infossa,"0.729606, 0.134926, 0.134870",OTU67,1047
LG1309,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,Nothophoma_infossa,"0.729606, 0.134926, 0.134870",OTU67,1055
LG1310,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,Nothophoma_infossa,"0.729606, 0.134926, 0.134870",OTU67,1055
LG1311,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,Nothophoma_infossa,"0.738295, 0.130735, 0.130732",OTU67,1023
LG1312,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,Nothophoma_infossa,"0.729606, 0.134926, 0.134870",OTU67,1055
LG1313,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,Nothophoma_infossa,"0.729612, 0.134921, 0.134866",OTU67,1043
LG1314,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,Nothophoma_infossa,"0.729607, 0.134922, 0.134867",OTU67,1049
LG1315,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,Nothophoma_infossa,"0.729606, 0.134926, 0.134870",OTU67,1054
LG1316,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,"Xylaria_lichenicola,Xylaria_acuta,Xylaria_hypoxylon,Nemania_diffusa,Geniculisynnema_termiticola,Kretzschmaria_deusta,Xylaria_cf_obovata,Nemania_aenea,Nemania_serpens","0.657598, 0.217953, 0.124274",OTU113,1049
LG1317,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,"Chaetomium_olivicolor,Chaetomium_thermophilum,Collariella_gracilis,Mycothermus_thermophilus,Collariella_causiiformis,Amesia_atrobrunnea,Collariella_virescens,Amesia_gelasinospora,Corynascella_humicola,Chaetomium_thermophilum_var_thermophilum,Amesia_nigricolor","0.617491, 0.139109, 0.080116, 0.080056, 0.060858",OTU192,1067
LG1318,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_terricola,"0.840724, 0.123326",OTU28,1040
LG1320,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_terricola,0.977888,OTU178,1057
LG1321,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_minima,0.999903,OTU75,976
LG1322,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_minima,0.999979,OTU75,1046
LG1323,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_minima,0.999986,OTU75,1045
LG1324,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_terricola,0.986326,OTU99,1054
LG1325,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Pyronema,Pyronema_domesticum,0.997285,OTU13,1077
LG1326,Ascomycota,Neolectomycetes,Neolectales,Neolectaceae,Neolecta,"Neolecta_irregularis,Neolecta_vitellina","0.799563, 0.080443, 0.056525, 0.046288",OTU187,1156
LG1327,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Pyronema,Pyronema_domesticum,0.997285,OTU13,1077
LG1328,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Pyronema,Pyronema_domesticum,0.997395,OTU13,1075
LG1329,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Ascochyta,Ascochyta_rabiei,0.985116,OTU67,1035
LG1330,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_minima,0.999953,OTU75,1043
LG1332,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_minima,0.999974,OTU75,1002
LG1333,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,Nothophoma_infossa,"0.729606, 0.134926, 0.134870",OTU67,1055
LG1334,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,Nothophoma_infossa,"0.729606, 0.134926, 0.134870",OTU67,1054
LG1335,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,Nothophoma_infossa,"0.729606, 0.134926, 0.134870",OTU67,1055
LG1336,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,Nothophoma_infossa,"0.729606, 0.134926, 0.134870",OTU67,1047
LG1337,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,Nothophoma_infossa,"0.697716, 0.147966, 0.147194",OTU67,1010
LG1338,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_minima,"0.805666, 0.122633, 0.064022",OTU207,995
LG1339,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,Nothophoma_infossa,"0.729606, 0.134926, 0.134870",OTU67,1055
LG1341,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Pseudocamarosporium,"Montagnula_opulenta,Bimuria_novaezelandiae,Pseudocamarosporium_corni,Phaeodothis_winteri,Pseudocamarosporium_propinquum,Pseudodidymocyrtis_lobariellae,Pseudocamarosporium_lonicerae,Pseudocamarosporium_piceae","0.548588, 0.448029",OTU208,947
LG1342,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Pseudocamarosporium,"Montagnula_opulenta,Bimuria_novaezelandiae,Pseudocamarosporium_corni,Phaeodothis_winteri,Pseudocamarosporium_propinquum,Pseudodidymocyrtis_lobariellae,Pseudocamarosporium_lonicerae,Pseudocamarosporium_piceae","0.865341, 0.042906, 0.040201, 0.038080",OTU72,1006
LG1343,Ascomycota,Dothideomycetes,Pleosporales,Leptosphaeriaceae,Plenodomus,"Plenodomus_visci,Muriphaeosphaeria_galatellae,Leptosphaeria_doliolum,Plenodomus_chrysanthemi,Paraleptosphaeria_nitschkei,Pyrenochaeta_nobilis,Heterospora_dimorphospora,Pyrenochaeta_cava,Heterospora_chenopodii,Leptosphaeria_maculans,Allophaeosphaeria_cytisi","0.544425, 0.154691, 0.133150, 0.069992, 0.021722, 0.018467, 0.015953",OTU209,1109
LG1344,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,Nothophoma_infossa,"0.729606, 0.134926, 0.134870",OTU67,1043
LG1345,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,Nothophoma_infossa,"0.729813, 0.134804, 0.134750",OTU67,1028
LG1346,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,"Chaetomium_olivicolor,Chaetomium_thermophilum,Collariella_gracilis,Mycothermus_thermophilus,Collariella_causiiformis,Amesia_atrobrunnea,Collariella_virescens,Amesia_gelasinospora,Corynascella_humicola,Chaetomium_thermophilum_var_thermophilum,Amesia_nigricolor","0.620523, 0.138075, 0.079666, 0.079597, 0.059880",OTU192,1068
LG1348,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_terricola,0.990804,OTU55,1053
LG1349,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,"Chaetomium_olivicolor,Chaetomium_thermophilum,Collariella_gracilis,Mycothermus_thermophilus,Collariella_causiiformis,Amesia_atrobrunnea,Collariella_virescens,Amesia_gelasinospora,Corynascella_humicola,Chaetomium_thermophilum_var_thermophilum,Amesia_nigricolor","0.620806, 0.138041, 0.079590, 0.079521, 0.059818",OTU192,1068
LG1350,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_terricola,0.997537,OTU27,1038
LG1351,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_terricola,1,OTU210,1038
LG1352,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Arcopilus,Arcopilus_turgidopilosus,"0.580674, 0.125833, 0.110610, 0.077965, 0.026921, 0.020888, 0.013057",OTU211,1097
LG1353,Ascomycota,Pezizomycetes,Pezizales,Sarcoscyphaceae,Sarcoscypha,"Sarcoscypha_austriaca,Sarcoscypha_coccinea,Pseudopithyella_minuscula","0.679517, 0.059089, 0.031491, 0.031005, 0.030477, 0.030477, 0.030477, 0.030477, 0.030475",OTU25,1110
LG1354,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,Xylaria_lichenicola,0.999912,OTU212,1089
LG1355,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Schizothecium,"Schizothecium_vesticola,Cercophora_caudata,Jugulospora_rotula","0.382677, 0.159597, 0.139409, 0.139409, 0.139409",OTU123,1064
LG1356,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,"Chaetomium_olivicolor,Chaetomium_thermophilum,Collariella_gracilis,Mycothermus_thermophilus,Collariella_causiiformis,Amesia_atrobrunnea,Collariella_virescens,Amesia_gelasinospora,Corynascella_humicola,Chaetomium_thermophilum_var_thermophilum,Amesia_nigricolor","0.620983, 0.138123, 0.079489, 0.079419, 0.059827",OTU192,1085
LG1358,Ascomycota,Coniocybomycetes,Coniocybales,Coniocybaceae,Chaenotheca,"Chaenotheca_trichialis,Chaenotheca_gracilenta,Chaenotheca_brachypoda,Chaenotheca_furfuracea,Sclerophora_farinacea,Sclerophora_coniophaea","0.279120, 0.210336, 0.143885, 0.123840, 0.112519, 0.051668, 0.033241",OTU41,1108
LG1359,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Trichophaea,"Trichophaea_abundans,Anthracobia_subatra","0.676990, 0.260087, 0.061660",OTU213,1166
LG1360,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Trichophaea,"Trichophaea_abundans,Anthracobia_subatra","0.763159, 0.158604, 0.027829, 0.024685",OTU26,1105
LG1361,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Subramaniula,Subramaniula_cristata,0.998639,OTU214,1071
LG1362,Ascomycota,Pezizomycetes,Pezizales,Ascobolaceae,Ascobolus,Ascobolus_crenulatus,0.996966,OTU59,1069
LG1363,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Thielavia,Thielavia_arenaria,1,OTU167,1071
LG1364,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_terricola,0.980081,OTU178,1045
LG1365,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_minima,0.99998,OTU75,1052
LG1366,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Schizothecium,"Schizothecium_vesticola,Cercophora_caudata,Jugulospora_rotula","0.261173, 0.193551, 0.180749, 0.180749, 0.180749",OTU123,807
LG1367,Ascomycota,Pneumocystidomycetes,Pneumocystidales,Pneumocystidaceae,Pneumocystis,Pneumocystis_carinii,"0.366311, 0.359394, 0.257061",OTU215,1224
LG1368,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Thielavia,Thielavia_arenaria,1,OTU167,1070
LG1369,Ascomycota,Eurotiomycetes,Onygenales,Onygenaceae,Spiromastix,Spiromastix_warcupii,"0.005326, 0.004525, 0.004515, 0.003947, 0.003947, 0.003946, 0.003914, 0.003377, 0.003228, 0.003228, 0.003208",OTU216,736
LG1370,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Trichophaea,"Trichophaea_abundans,Anthracobia_subatra","0.622965, 0.258032, 0.039332, 0.036714",OTU26,1135
LG1371,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_minima,1,OTU217,1054
LG1372,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,Sordaria,"Neurospora_crassa,Neurospora_pannonica,Sordaria_macrospora,Sordaria_lappae,Sordaria_fimicola,Gelasinospora_tetrasperma","0.218731, 0.200388, 0.191786, 0.102015, 0.099345, 0.086154, 0.085065",OTU117,1034
LG1373,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,"Xylaria_lichenicola,Xylaria_acuta,Xylaria_hypoxylon,Nemania_diffusa,Geniculisynnema_termiticola,Kretzschmaria_deusta,Xylaria_cf_obovata,Nemania_aenea,Nemania_serpens","0.394906, 0.319063, 0.286030",OTU218,1316
LG1374,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Geopyxis,Geopyxis_carbonaria,1,OTU191,1105
LG1375A,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,Nothophoma_infossa,"0.729608, 0.134921, 0.134866",OTU67,1046
